customerID,complaint,complaint_number,cleaned_complaint
0014-BMAQU,"I recently contacted tech support for assistance with the connectivity issues, but the response was delayed, and the resolution provided did not fully address the problem.",2,i recently contacted tech support for assistance with the connectivity issues but the response was delayed and the resolution provided did not fully address the problem
3565-UNOCC,"The internet speed on my fiber optic connection has been consistently slow despite the high monthly charges, making it difficult to stream TV and movies without buffering issues. I have contacted customer support in the past, but no resolution has been provided.",1,the internet speed on my fiber optic connection has been consistently slow despite the high monthly charges making it difficult to stream tv and movies without buffering issues i have contacted customer support in the past but no resolution has been provided
8718-PTMEZ,"When I tried to cancel my service, the process was unnecessarily complicated, and I was still charged for another month despite my request to cancel immediately.",3,when i tried to cancel my service the process was unnecessarily complicated and i was still charged for another month despite my request to cancel immediately
0022-TCJCI,"The internet speed has been consistently slower than what was promised in my plan, and despite being a long-time customer, the issue has not been resolved.",1,the internet speed has been consistently slower than what was promised in my plan and despite being a longtime customer the issue has not been resolved
3173-NVMPX,"The internet speed has been much slower than expected for a DSL connection, making it difficult to complete online tasks efficiently. This has been a recurring issue that needs urgent resolution.",1,the internet speed has been much slower than expected for a dsl connection making it difficult to complete online tasks efficiently this has been a recurring issue that needs urgent resolution
9512-UIBFX,"The streaming services I signed up for, including TV and movies, constantly buffer and are almost unwatchable. This has been happening for months, and no one has resolved the issue despite my repeated complaints.",1,the streaming services i signed up for including tv and movies constantly buffer and are almost unwatchable this has been happening for months and no one has resolved the issue despite my repeated complaints
0975-VOOVL,I am unable to get any technical support when I face issues with my internet service. There seems to be no help available for troubleshooting.,2,i am unable to get any technical support when i face issues with my internet service there seems to be no help available for troubleshooting
9317-WZPGV,"The streaming movies service has constant buffering issues, making it impossible to watch anything properly. Despite paying a high monthly charge, the service quality is unacceptable and needs immediate attention.",1,the streaming movies service has constant buffering issues making it impossible to watch anything properly despite paying a high monthly charge the service quality is unacceptable and needs immediate attention
9415-ZNBSX,"Despite having all the security and protection services enabled, I keep receiving phishing emails and suspicious pop-ups. I expected better security for the premium I'm paying.",2,despite having all the security and protection services enabled i keep receiving phishing emails and suspicious popups i expected better security for the premium im paying
1587-FKLZB,I was charged for the full month even though I canceled my service. I would like a refund for the unused portion of my final bill.,5,i was charged for the full month even though i canceled my service i would like a refund for the unused portion of my final bill
3424-NMNBO,"When I reached out for help regarding the streaming issues, I was told that tech support is not included in my plan. Given how long I've been a customer and the amount I pay monthly, this lack of support is unacceptable.",2,when i reached out for help regarding the streaming issues i was told that tech support is not included in my plan given how long ive been a customer and the amount i pay monthly this lack of support is unacceptable
0064-YIJGF,"I attempted to contact customer service about the poor internet performance, but I was unable to get through to a representative after waiting on hold for an extended period.",2,i attempted to contact customer service about the poor internet performance but i was unable to get through to a representative after waiting on hold for an extended period
9367-WXLCH,"I tried reaching out to customer support about the streaming issues, but I was unable to get proper assistance or resolution. The lack of tech support is disappointing.",2,i tried reaching out to customer support about the streaming issues but i was unable to get proper assistance or resolution the lack of tech support is disappointing
8882-TLVRW,"The mailed check payment process is cumbersome and outdated. I would like to see more modern, convenient payment options available.",5,the mailed check payment process is cumbersome and outdated i would like to see more modern convenient payment options available
