complaint;severity_label
I have been charged a high monthly fee of $79.70, but the quality of service, particularly the streaming and internet speed, does not match the cost. It feels like I am overpaying for subpar services.;moderate
The internet speed has been inconsistent lately, which is frustrating as I rely on a stable connection for work. Despite having Fiber optic service, the performance does not match my expectations.;severe
When I tried to contact customer support about these issues, I was not provided with any helpful solutions. The lack of assistance has pushed me to consider leaving.;severe
Despite having tech support included in my plan, I feel like the support I received was unhelpful and did not resolve the issue with my internet.;severe
I was charged the full amount this month even though the internet service was unreliable for several days, and I believe I deserve a partial refund.;moderate
The streaming movies service I signed up for keeps buffering and is practically unusable. I expected better quality for the amount I'm paying. Please resolve this issue immediately.;severe
The streaming services I subscribed to, both TV and movies, often experience buffering and interruptions despite having a stable internet plan. This has been frustrating, and I expect a resolution to improve the quality of these services.;severe
I mailed my payment as usual, but my account was still marked as overdue. This is very inconvenient and needs to be resolved immediately.;moderate
The internet service has been very inconsistent, with frequent outages and slow speeds, making it difficult to complete important tasks. This has been an ongoing issue despite being a loyal customer for 34 months.;severe
Despite my issues, my monthly bill of $73 feels excessive for the limited services I'm receiving. I don't feel like I'm getting my money's worth.;severe
Despite the ongoing issues, my monthly charges remain high, and I feel like I'm not getting value for the amount I'm paying.;severe
The internet service has been extremely unreliable, with constant disruptions while streaming TV and movies. Despite having Fiber optic, the quality and consistency are unacceptable, and no resolution has been provided.;severe
I attempted to contact customer support about the slow internet, but I was unable to get through to anyone who could help me resolve the issue.;severe
The streaming services I subscribed to, such as TV and movies, are constantly buffering and often fail to load. This is extremely frustrating, especially since I rely on these services for entertainment.;severe
The process of mailing checks every month is inconvenient. I would prefer more flexible payment options that align with modern conveniences.;moderate
I've been experiencing repeated interruptions with my Streaming TV service despite having a stable internet connection. This is very frustrating when trying to watch shows.;severe
Despite having tech support included in my plan, I haven't been able to get proper assistance to fix the streaming issue. The support team has been unhelpful and slow to respond.;mild
When I tried to contact customer support about the streaming issues, I was unable to get through or receive any meaningful assistance. This has been extremely frustrating.;severe
